epoch,rmse,obj_func
0,0.8160038081281741,701273.0541247353
1,0.7574139878695351,650922.4204381522
2,0.6914721108351896,594254.0799175332
3,0.6340100267491046,544873.5372553458
4,0.5922776865548768,509010.98539229407
5,0.5632327679123639,484051.7237124553
6,0.5424709703431176,466210.7295819522
7,0.5270748273440502,452980.78549772006
8,0.5152578754025083,442826.64646968065
9,0.5059154092813511,434798.95914966566
